ide_xcode,xcode,엑스코드,,
ide_android studio,android studio,안드로이드 스튜디오,,
ide_visual code,visual code,비쥬얼 코드,비주얼코드,VC
ide_IntelliJ,IntelliJ,인텔리제이,,
ide_pyCharm,pyCharm,파이참,,
ide_cmd,cmd,커맨더,,
ide_terminal,terminal,터미널,,
ide_eclipse,eclipse,이클립스,,
ide_visual studio,visual studio,비주얼 스튜디오,VS,
,,,,
editor_atom,atom,아톰,,
editor_netbeans,netbeans,넷빈,,
editor_sublimeText,sublime text,서브라임텍스트,서브라임 텍스트,
